i roll pitch yaw
1 1.0e-45 0.0 3.8709358e-32 
2 -0.00085605675 7.37889e-5 -0.00057643803 
3 -0.0016751813 0.00014439438 -0.0011280072 
4 -0.0028305864 0.000243986 -0.0019060158 
5 -0.0037053796 0.00031938992 -0.0024950705 
6 -0.004426491 0.0003884478 -0.003036839 
7 -0.005183963 0.0004609878 -0.003605925 
8 -0.005947658 0.0005341237 -0.004179686 
9 -0.006829299 0.0006185548 -0.0048420597 
10 -0.0075438265 0.0006869822 -0.0053788815 
11 -0.008301452 0.00075953687 -0.0059480825 
12 -0.0090497155 0.00083119504 -0.0065102507 
13 -0.009841568 0.0009070275 -0.0071051666 
14 -0.010554685 0.0009753198 -0.007640929 
15 -0.011344724 0.0010805863 -0.00822324 
16 -0.012112974 0.0011829496 -0.008789491 
17 -0.012885237 0.0012858476 -0.0093587 
18 -0.013684139 0.001392295 -0.009947544 
19 -0.014429116 0.0014915573 -0.0104966415 
20 -0.01524221 0.0015998957 -0.011095946 
21 -0.016038928 0.0017060521 -0.01168318 
22 -0.016802868 0.0018078412 -0.012246255 
23 -0.017547794 0.0019070967 -0.012795314 
24 -0.01828195 0.0019324872 -0.013362768 
25 -0.019080995 0.001960122 -0.013980378 
26 -0.01980222 0.0019850654 -0.014537838 
27 -0.020543585 0.0020107052 -0.015110864 
28 -0.021360632 0.0020389624 -0.01574239 
29 -0.022160895 0.0020666393 -0.01636094 
30 -0.022958271 0.0020942162 -0.01697726 
31 -0.023716288 0.002120432 -0.017563157 
32 -0.024540422 0.0022038668 -0.018158555 
33 -0.025352782 0.0022861094 -0.018745445 
34 -0.026343608 0.00238642 -0.01946127 
35 -0.0274867 0.002502146 -0.0202871 
36 -0.028313717 0.0025858725 -0.020884579 
37 -0.029154982 0.0026710415 -0.021492353 
38 -0.030001348 0.002756727 -0.02210381 
39 -0.031180749 0.0028761285 -0.02295587 
40 -0.032113504 0.0029818327 -0.023675933 
41 -0.032941192 0.0030756304 -0.024314888 
42 -0.033753872 0.003167727 -0.024942255 
43 -0.03452661 0.0032552977 -0.02553879 
44 -0.035347126 0.0033482828 -0.026172208 
45 -0.03615519 0.0034398567 -0.026796015 
46 -0.036975905 0.0035328644 -0.027429586 
47 -0.0378258 0.0036291785 -0.028085683 
48 -0.038654763 0.0037593034 -0.028652655 
49 -0.03946065 0.0038858058 -0.029203845 
50 -0.04036382 0.0040275785 -0.02982157 
51 -0.04117238 0.004154501 -0.030374588 
52 -0.042003002 0.0042848857 -0.030942693 
53 -0.042803638 0.0044105635 -0.03149029 
54 -0.043642297 0.0045422106 -0.032063894 
55 -0.04447976 0.00467367 -0.03263668 
56 -0.045265164 0.004796957 -0.03317386 
57 -0.04610879 0.004845341 -0.033722743 
58 -0.04695121 0.004893656 -0.03427084 
59 -0.04782886 0.004943991 -0.03484186 
60 -0.04870475 0.004994225 -0.035411738 
61 -0.04991497 0.005063634 -0.036199138 
62 -0.05079582 0.0051141526 -0.03677224 
63 -0.051670287 0.005164305 -0.037341192 
64 -0.05254383 0.005214405 -0.03790954 
65 -0.053285282 0.0052664746 -0.038464412 
66 -0.054098707 0.0053235986 -0.039073143 
67 -0.05542561 0.0054167826 -0.040066138 
68 -0.056209464 0.00547183 -0.040652737 
69 -0.05701991 0.005528745 -0.04125924 
70 -0.057821326 0.0055850255 -0.041858982 
71 -0.05853963 0.005635469 -0.042396527 
72 -0.059319444 0.005690233 -0.042980105 
73 -0.060100395 0.0057501723 -0.04356924 
74 -0.06090292 0.0058117677 -0.044174653 
75 -0.061726835 0.005875005 -0.044796202 
76 -0.062454488 0.0059308535 -0.045345135 
77 -0.06321363 0.0059891194 -0.045917824 
78 -0.06399135 0.0060488107 -0.046504524 
79 -0.06482164 0.006112537 -0.04713088 
80 -0.0655566 0.0061689466 -0.047685325 
81 -0.06651417 0.006373153 -0.048257414 
82 -0.067522794 0.0065882457 -0.048860002 
83 -0.06855785 0.0068089757 -0.049478386 
84 -0.07023016 0.0071656024 -0.050477486 
85 -0.07120508 0.0073735076 -0.05105994 
86 -0.07221158 0.0075881467 -0.051661257 
87 -0.0734822 0.007859113 -0.052420378 
88 -0.07480213 0.008140594 -0.053208955 
89 -0.076168746 0.008899823 -0.05357554 
90 -0.07735748 0.009560229 -0.053894415 
91 -0.07864607 0.010276111 -0.054240074 
92 -0.07980402 0.010919412 -0.05455069 
93 -0.08112415 0.011652817 -0.054904807 
94 -0.08284865 0.012610872 -0.0553674 
95 -0.08444349 0.013496891 -0.055795208 
96 -0.08567723 0.014182299 -0.05612615 
97 -0.08673557 0.013631848 -0.056354277 
98 -0.0881924 0.012874136 -0.0566683 
99 -0.08924302 0.012327702 -0.05689476 
100 -0.09030103 0.011777418 -0.057122815 
101 -0.09129375 0.0112610925 -0.0573368 
102 -0.09233664 0.010718676 -0.057561595 
103 -0.09373619 0.00999076 -0.05786327 
104 -0.09598723 0.0067698276 -0.057932552 
105 -0.0972191 0.0050071846 -0.057970464 
106 -0.0985989 0.0030328855 -0.058012933 
107 -0.10008062 0.0009127499 -0.058058538 
108 -0.10139004 -0.00096085924 -0.058098838 
109 -0.10265834 -0.00277562 -0.05813787 
110 -0.103996344 -0.004690124 -0.05817905 
111 -0.105640166 -0.007042213 -0.058229644 
112 -0.10651931 -0.0070477924 -0.05818669 
113 -0.10737809 -0.007053243 -0.058144733 
114 -0.10820856 -0.007058514 -0.058104157 
115 -0.10929042 -0.00706538 -0.0580513 
116 -0.11009664 -0.0070704967 -0.058011908 
