i steerAngle sensorAngle maxSpeed sensorSpeed cameraPosX cameraPosY cameraPosZ cameraOriX cameraOriY cameraOriZ cameraOriW imuGyroX imuGyroY imuGyroZ imuAccX imuAccY imuAccZ imuMagX imuMagY imuMagZ deltaTime cameraConfidence
1 0 0 19.0 0.0 -0.00016202997 -0.00014753018 -7.876137e-5 5.830428e-6 0.0 0.0 -0.0 1.0 -0.029455224 0.0025389304 -0.019834096 0.01221 0.05342 1.01758 0.15936 0.04043 0.24638 0.029062986 0.9
2 0 0 19.0 0.0 -0.00015042392 -0.00014423096 -8.740841e-5 1.4844415e-5 0.0 0.0 -0.0 1.0 -0.029455224 0.0025389304 -0.019834096 0.01221 0.05342 1.01758 0.15936 0.04043 0.24638 0.027809143 0.9
3 0 0 19.0 0.0 -0.00014774218 -0.0001433992 -9.0995374e-5 4.5552083e-6 0.0 0.0 -0.0 1.0 -0.029455224 0.0025389304 -0.019834096 0.01221 0.05342 1.01758 0.15936 0.04043 0.24638 0.039225817 0.9
4 0 0 19.0 0.0 -0.00013717666 -0.00013770872 -9.3905364e-5 1.2348269e-5 0.0 0.0 -0.0 1.0 -0.029455224 0.0025389304 -0.019834096 0.01221 0.05342 1.01758 0.15936 0.04043 0.24638 0.029699087 0.9
5 0 0 19.0 0.0 -0.00014140348 -0.00014395044 -9.4563504e-5 7.5669236e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.028043985 0.89
6 0 0 19.0 0.0 -0.00014861935 -0.00014662619 -9.032634e-5 8.785325e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.029458046 0.91
7 0 0 19.0 0.0 -0.00014500687 -0.00014514837 -8.8889996e-5 4.1589833e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.02970004 0.91
8 0 0 19.0 0.0 -0.00015503302 -0.00014827479 -9.01685e-5 1.0579834e-5 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.034286976 0.9
9 0 0 19.0 0.0 -0.0001503196 -0.00014631434 -9.095407e-5 5.1649617e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.027787924 0.9
10 0 0 19.0 0.0 -0.00016813955 -0.00015521367 -8.6775675e-5 2.0352094e-5 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.029464006 0.91
11 0 0 19.0 0.0 -0.00016483234 -0.00015632872 -8.8282904e-5 3.8016806e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.029099941 0.9
12 0 0 19.0 0.0 -0.00015989003 -0.00015621526 -9.4118775e-5 7.648313e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.030795097 0.9
13 0 0 19.0 0.0 -0.0001566776 -0.00015219717 -9.718511e-5 5.988912e-6 0.0 0.0 -0.0 1.0 -0.025713587 0.002462485 -0.019318527 0.01208 0.05424 1.01768 0.15936 0.04091 0.24685 0.027733088 0.91
14 0 0 19.0 0.0 -0.00015611142 -0.00015067261 -9.6962896e-5 1.6414092e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.029330969 0.9
15 0 0 19.0 0.0 -0.00016043545 -0.00015115556 -9.671334e-5 4.3580726e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.028522015 0.9
16 0 0 19.0 0.0 -0.00015580942 -0.00014903363 -9.706758e-5 5.1017887e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.028671026 0.9
17 0 0 19.0 0.0 -0.00015306778 -0.00014880927 -9.708125e-5 2.7508363e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.029659986 0.91
18 0 0 19.0 0.0 -0.00014916746 -0.00014132807 -9.843671e-5 8.545053e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.027657986 0.9
19 0 0 19.0 0.0 -0.00015101534 -0.00014119968 -9.692738e-5 2.3893822e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.030186892 0.9
20 0 0 19.0 0.0 -0.00014467124 -0.00014076014 -0.00010101102 7.557567e-6 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.029578924 0.91
21 0 0 19.0 0.0 -0.00015601034 -0.00014422614 -9.9350684e-5 1.1972684e-5 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.028362036 0.91
22 0 0 19.0 0.0 -0.00016494254 -0.000154227 -9.787484e-5 1.3489985e-5 0.0 0.0 -0.0 1.0 -0.026935317 0.0035889205 -0.01985312 0.01212 0.0542 1.01672 0.15922 0.04086 0.24621 0.027656078 0.91
23 0 0 19.0 0.0 -0.00015058329 -0.000148891 -0.00010178172 1.5809012e-5 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.02891612 0.91
24 0 0 19.0 0.0 -0.00014728543 -0.00014592546 -0.00010209405 4.4460994e-6 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.031471968 0.9
25 0 0 19.0 0.0 -0.00013545016 -0.00013759127 -0.00010350661 1.4543998e-5 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.028406858 0.91
26 0 0 19.0 0.0 -0.00012926731 -0.00013308419 -0.000109527005 9.735834e-6 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.029200077 0.91
27 0 0 19.0 0.0 -0.00012646128 -0.00013105794 -0.000108331515 3.6617873e-6 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.032181025 0.91
28 0 0 19.0 0.0 -0.0001315847 -0.00013276248 -0.0001088872 5.428044e-6 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.03151989 0.91
29 0 0 19.0 0.0 -0.000115330484 -0.00012466684 -0.000119211654 2.0888592e-5 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.031406164 0.91
30 0 0 19.0 0.0 -0.000101829995 -0.00011965799 -0.00012363771 1.5064592e-5 0.0 0.0 -0.0 1.0 -0.02538913 0.00087807514 -0.019624133 0.01186 0.0535 1.0173 0.15908 0.04091 0.24609 0.029855967 0.92
31 0 0 19.0 0.0 -9.857539e-5 -0.00011661335 -0.00012484643 4.6177106e-6 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.029732943 0.91
32 0 0 19.0 0.0 -0.00011696044 -0.00012767475 -0.00011999955 2.199674e-5 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.02930808 0.91
33 0 0 19.0 0.0 -0.00010887835 -0.00012738923 -0.00012106607 8.157154e-6 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.035746813 0.91
34 0 0 19.0 0.0 -8.6855965e-5 -0.0001219127 -0.00011719831 2.302036e-5 -0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.041240215 0.92
35 0 0 19.0 0.0 -8.8305314e-5 -0.00012776621 -0.00011436219 6.6639136e-6 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.029836893 0.92
36 0 0 19.0 0.0 -5.9828628e-5 -0.00011291855 -4.4647015e-5 7.675663e-5 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.030350924 0.9
37 0 0 19.0 0.0 6.1264254e-5 -0.000110048524 -4.2337102e-5 0.000121148914 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.030534983 0.9
38 0 0 19.0 0.0 0.00017690522 -9.16563e-5 -3.7381655e-5 0.00011719924 0.0 0.0 -0.0 1.0 -0.027717924 0.0028061403 -0.02002486 0.0119 0.05391 1.01756 0.15917 0.041 0.24713 0.042550087 0.88
39 0 0 19.0 0.0 0.00030450232 -4.6323257e-5 -1.4275599e-5 0.0001373681 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.033559084 0.89
40 0 0 19.0 0.0 0.0003638659 -7.241666e-5 5.0174945e-6 6.765445e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.029778957 0.88
41 0 0 19.0 0.0 0.00045183382 -4.9618655e-5 -1.8447522e-6 9.1132846e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.02923894 0.89
